"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	12	55504	Unreliable
	"Baldwin County, AL"	"01003"	39	212628	18.3419
	"Barbour County, AL"	"01005"	Suppressed	25270	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22668	Suppressed
	"Blount County, AL"	"01009"	11	58013	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	10309	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19825	Suppressed
	"Calhoun County, AL"	"01015"	29	114728	25.2772
	"Chambers County, AL"	"01017"	Suppressed	33713	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25857	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44067	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12945	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24083	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13367	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14900	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51874	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54500	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12469	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10754	Suppressed
	"Covington County, AL"	"01039"	12	37092	Unreliable
	"Crenshaw County, AL"	"01041"	Suppressed	13871	Suppressed
	"Cullman County, AL"	"01043"	21	82755	25.3761
	"Dale County, AL"	"01045"	Suppressed	49226	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	39215	Suppressed
	"DeKalb County, AL"	"01049"	20	71617	27.9263
	"Elmore County, AL"	"01051"	14	81677	Unreliable
	"Escambia County, AL"	"01053"	12	37447	Unreliable
	"Etowah County, AL"	"01055"	15	102755	Unreliable
	"Fayette County, AL"	"01057"	Suppressed	16468	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31495	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26421	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8330	Suppressed
	"Hale County, AL"	"01065"	Suppressed	14812	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17147	Suppressed
	"Houston County, AL"	"01069"	15	104346	Unreliable
	"Jackson County, AL"	"01071"	15	51909	Unreliable
	"Jefferson County, AL"	"01073"	109	659197	16.5353
	"Lamar County, AL"	"01075"	Suppressed	13946	Suppressed
