state,city,year,total-population,male-population,female-population,percent-male,percent-female,poverty-level,median-age,median-household-income,per-capita-income,median-home-value,median-rent,land-area,pop-density,foreign-born,gini-index,student-population,high-school-education,bachelor-education,graduate-education
Alabama,Abbeville,2017,2567,1331,1236,0.519,0.48100000000000004,0.207,45.1,42171.0,24107.0,85785.0,555.0,15.6,165.0,12.0,12.3,0,0.7909999999999999,0.134,0.07400000000000001
Alabama,Abernant,2007,7599,3791,3808,0.499,0.501,,34.3,66853.0,24356.0,171962.0,,51.7,147.0,,11.2,0,0.76,0.09699999999999999,0.023
Alabama,Adamsville,2017,4347,2044,2303,0.47,0.53,0.16,42.7,50458.0,24429.0,104399.0,879.0,19.6,222.0,7.0,10.3,0,0.835,0.146,0.053
Alabama,Addison,2017,728,386,342,0.53,0.47,0.342,47.8,36502.0,23190.0,80330.0,357.0,3.51,207.0,3.0,10.3,0,0.851,0.184,0.077
Alabama,Akron,2017,332,144,188,0.436,0.564,0.48700000000000004,40.5,20525.0,10091.0,41502.0,535.0,0.55,598.0,,8.2,0,0.628,0.031,0.005
Alabama,Alabaster,2017,33202,16308,16894,0.491,0.509,0.111,37.8,73347.0,29351.0,174361.0,985.0,20.5,1622.0,2064.0,10.9,0,0.888,0.348,0.13
Alabama,Alberta,2007,1632,733,899,0.45,0.55,,31.2,23893.0,9607.0,80875.0,,155.6,10.0,,20.8,0,0.406,0.048,0.027999999999999997
Alabama,Albertville,2017,21392,10188,11204,0.47600000000000003,0.524,0.287,31.5,37959.0,19189.0,117701.0,603.0,26.0,824.0,3245.0,13.9,93,0.762,0.128,0.042
Alabama,Alexander City,2017,14595,6663,7932,0.457,0.5429999999999999,0.276,39.6,33486.0,20246.0,112527.0,603.0,38.8,376.0,448.0,11.7,1489,0.81,0.155,0.05
Alabama,Alexandria,2010,3917,1782,2135,0.455,0.545,0.061,39.0,75633.0,31433.0,128604.0,721.0,11.1,353.0,49.0,10.8,0,0.873,0.209,0.083
Alabama,Aliceville,2017,2335,1107,1228,0.474,0.526,0.34600000000000003,36.5,24953.0,15236.0,109959.0,494.0,4.5,519.0,6.0,11.0,0,0.669,0.134,0.048
Alabama,Allgood,2017,624,340,284,0.546,0.45399999999999996,0.273,33.4,41907.0,18097.0,101081.0,432.0,1.04,602.0,136.0,19.1,0,0.479,0.027999999999999997,0.008
Alabama,Altoona,2017,917,428,489,0.467,0.5329999999999999,0.161,40.8,37992.0,19196.0,86592.0,408.0,3.8,241.0,3.0,9.4,0,0.7929999999999999,0.073,0.04
Alabama,Andalusia,2017,8787,4083,4704,0.465,0.535,0.17300000000000001,41.3,37384.0,23326.0,118089.0,615.0,18.9,466.0,108.0,11.7,1338,0.847,0.209,0.079
Alabama,Anderson,2017,276,114,162,0.415,0.585,0.161,44.6,47486.0,23773.0,131439.0,1077.0,1.29,214.0,,13.2,0,0.797,0.115,0.044000000000000004
Alabama,Anniston,2017,21770,9864,11906,0.45299999999999996,0.547,0.295,43.3,34329.0,24476.0,102306.0,592.0,45.4,479.0,557.0,12.3,0,0.8190000000000001,0.19899999999999998,0.09300000000000001
Alabama,Arab,2017,8284,3830,4454,0.462,0.5379999999999999,0.17600000000000002,39.9,44281.0,23963.0,147562.0,552.0,12.8,649.0,200.0,10.8,0,0.879,0.248,0.08
Alabama,Ardmore,2017,1398,639,759,0.457,0.5429999999999999,0.209,39.8,40148.0,19589.0,118740.0,707.0,2.04,685.0,6.0,11.6,0,0.81,0.155,0.071
Alabama,Argo,2017,4268,2143,2125,0.502,0.498,0.065,42.0,63096.0,29775.0,184069.0,450.0,12.2,351.0,122.0,8.6,0,0.9059999999999999,0.172,0.081
Alabama,Ariton,2017,739,349,390,0.473,0.527,0.39399999999999996,35.0,26829.0,15384.0,111992.0,430.0,5.07,146.0,15.0,11.4,0,0.758,0.133,0.075
Alabama,Arley,2017,346,150,196,0.434,0.5660000000000001,0.35,39.5,33066.0,16138.0,106964.0,444.0,2.8,124.0,1.0,10.9,0,0.7759999999999999,0.139,0.046
Alabama,Arsenal,2007,2675,1607,1068,0.601,0.39899999999999997,,23.9,49392.0,22139.0,208749.0,,60.3,44.0,,7.3,0,0.995,0.27899999999999997,0.14
Alabama,Ashford,2017,2144,976,1168,0.455,0.545,0.145,43.3,45282.0,24705.0,140329.0,627.0,6.1,352.0,7.0,10.2,0,0.847,0.17300000000000001,0.073
Alabama,Ashland,2017,1932,823,1109,0.426,0.574,0.24600000000000002,45.9,28233.0,20396.0,142263.0,392.0,7.24,267.0,65.0,11.6,0,0.7440000000000001,0.135,0.044000000000000004
Alabama,Ashville,2017,2291,1093,1198,0.47700000000000004,0.523,0.23199999999999998,39.9,48356.0,17493.0,117624.0,1038.0,19.3,118.0,46.0,9.4,0,0.797,0.107,0.038
